time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-17T18:46:15.820Z,19.3843333333333,-155.421333333333,8.37,2.2,ml,28,63,,0.09,hv,hv72048717,2020-07-21T00:45:57.550Z,"20 km WSW of Volcano, Hawaii",earthquake,0.38,0.78,0.183202456288141,10,reviewed,hv,hv
2020-07-12T05:23:37.840Z,19.3610000610352,-155.424835205078,10.5799999237061,1.87,ml,46,42,,0.159999996,hv,hv72040447,2020-07-12T05:29:10.190Z,"18 km NNE of Pāhala, Hawaii",earthquake,0.33,0.610000014,0.08,3,automatic,hv,hv
2020-07-06T06:02:53.810Z,19.1985,-155.6235,10.8,1.96,md,46,112,,0.16,hv,hv72032117,2020-07-10T07:57:58.040Z,"14 km N of Wai‘ōhinu, Hawaii",earthquake,0.31,0.45,0.222362901067324,25,reviewed,hv,hv
2020-06-24T17:35:11.810Z,19.3643333333333,-155.487833333333,8.59,2.25,ml,52,34,,0.12,hv,hv72014591,2020-06-24T20:36:33.536Z,"17km N of Pahala, Hawaii",earthquake,0.26,0.5,0.094132478131927,17,reviewed,hv,hv
2020-06-21T20:44:36.950Z,19.3656673431396,-155.494506835938,8.14000034332275,1.82000005,md,43,61,,0.170000002,hv,hv72010126,2020-06-21T20:47:39.600Z,"17km N of Pahala, Hawaii",earthquake,0.35,0.819999993,0.239999995,25,automatic,hv,hv
2020-06-19T18:41:47.660Z,19.4433333333333,-155.4535,7.69,2.27,ml,49,53,,0.12,hv,hv72007091,2020-06-19T21:14:32.360Z,"22km W of Volcano, Hawaii",earthquake,0.3,0.56,0.129239919482785,12,reviewed,hv,hv
2020-06-18T13:34:34.370Z,19.3976666666667,-155.487666666667,7.75,2.08,ml,53,33,,0.11,hv,hv72005391,2020-06-20T01:40:02.290Z,"21km N of Pahala, Hawaii",earthquake,0.24,0.46,0.169228411275961,5,reviewed,hv,hv
2020-06-16T09:59:54.630Z,19.4348333,-155.5021667,9.05,1.1,md,21,40,0.02651,0.12,hv,hv71561002,2020-06-17T00:54:16.820Z,"25km N of Pahala, Hawaii",earthquake,0.38,0.85,0.083,13,reviewed,hv,hv
2020-06-11T14:57:03.400Z,19.4386673,-155.4793396,8.61,1.92,ml,40,55,0.04462,0.14,hv,hv71551822,2020-06-11T15:02:51.990Z,"25km W of Volcano, Hawaii",earthquake,0.36,0.57,4.48,4,automatic,hv,hv
2020-06-09T13:23:27.320Z,19.185833,-155.4414978,8.21,1.76,md,17,156,0.1746,0.13,hv,hv71548642,2020-06-09T13:25:19.910Z,"4km ESE of Pahala, Hawaii",earthquake,0.84,1.59,0.23,5,automatic,hv,hv
2020-06-08T21:16:44.120Z,19.4025002,-155.469162,8.72,1.85,ml,47,44,0.07102,0.23,hv,hv71547732,2020-06-08T21:22:33.210Z,"21km N of Pahala, Hawaii",earthquake,0.42,0.72,2.93,9,automatic,hv,hv
2020-06-07T00:10:00.910Z,19.3848324,-155.4503326,8.38,1.82,ml,40,47,0.07967,0.14,hv,hv71545432,2020-06-07T00:15:50.220Z,"20km N of Pahala, Hawaii",earthquake,0.41,1.02,3.85,5,automatic,hv,hv
2020-05-15T13:14:43.520Z,19.3686676,-155.4880066,8.2,1.84,md,44,39,0.07047,0.19,hv,hv71514342,2020-05-15T13:17:49.300Z,"18km N of Pahala, Hawaii",earthquake,0.34,0.75,0.19,28,automatic,hv,hv
2020-05-10T03:57:13.690Z,19.4726658,-155.463501,7.18,1.79,ml,42,68,0.05724,0.12,hv,hv71506117,2020-05-10T04:02:51.790Z,"24km W of Volcano, Hawaii",earthquake,0.34,0.84,5.23,3,automatic,hv,hv
2020-05-04T07:08:30.320Z,19.3691673,-155.504837,8.17,1.77,md,39,36,0.05836,0.22,hv,hv71498287,2020-05-04T07:11:37.650Z,"18km N of Pahala, Hawaii",earthquake,0.4,0.95,0.16,17,automatic,hv,hv
2020-05-02T17:57:52.320Z,19.3583336,-155.5028381,7.8,1.94,md,42,38,0.06778,0.25,hv,hv71496882,2020-05-02T18:01:02.650Z,"17km N of Pahala, Hawaii",earthquake,0.39,0.88,0.21,24,automatic,hv,hv
