time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-09T19:56:31.050Z,19.4123333333333,-155.634333333333,0.21,2.43,ml,44,119,,0.13,hv,hv72037852,2020-07-09T20:22:59.350Z,"24 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.56,0.142031501002652,27,reviewed,hv,hv
2020-07-01T01:04:14.700Z,19.4978332519531,-155.658828735352,1.22000002861023,1.84000003,md,25,98,,0.200000003,hv,hv72023467,2020-07-01T01:09:46.760Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.56,2.07999992,1.22000003,8,automatic,hv,hv
2020-07-01T00:06:15.670Z,19.4911666666667,-155.6605,0.19,2.26,ml,52,81,,0.15,hv,hv72023397,2020-07-02T02:04:30.550Z,"21 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.76,0.164345395383436,14,reviewed,hv,hv
2020-05-24T17:32:58.660Z,19.5176667,-155.6665,4.48,3.04,ml,57,56,0.03156,0.13,hv,hv71525677,2020-06-21T15:59:12.510Z,"23km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.33,0.17,39,reviewed,hv,hv
2020-05-09T17:03:23.150Z,19.4298333,-155.6206667,0.02,2.14,ml,44,92,0.02766,0.13,hv,hv71505582,2020-05-09T17:28:19.290Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.47,0.134,19,reviewed,hv,hv
2020-05-05T22:14:27.800Z,19.4281667,-155.6235,0.31,2.17,ml,41,143,0.02558,0.12,hv,hv71500472,2020-05-05T22:50:35.740Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.52,0.119,14,reviewed,hv,hv
2020-04-18T11:01:57.770Z,19.4773333,-155.5928333,0.06,1.29,md,43,76,0.01542,0.18,hv,hv71479282,2020-04-21T02:44:58.280Z,"28km E of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.55,0.066,16,reviewed,hv,hv
2020-04-17T05:09:19.400Z,19.4198333,-155.6186667,0.09,2.34,ml,44,103,0.01897,0.16,hv,hv71477847,2020-04-17T19:56:07.240Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.56,0.164,27,reviewed,hv,hv
2020-04-14T17:03:06.150Z,19.51,-155.658,3.86,2.02,ml,38,68,0.0337,0.12,hv,hv71474342,2020-04-14T23:17:58.080Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.34,0.55,0.215,5,reviewed,hv,hv
2020-04-13T01:55:59.410Z,19.4275,-155.6338333,0.31,1.33,md,44,153,0.02532,0.15,hv,hv71471682,2020-04-14T01:12:55.540Z,"24km E of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.64,0.142,18,reviewed,hv,hv
2020-04-05T08:48:19.120Z,19.5008333,-155.6573333,0.46,1.05,md,29,59,0.04205,0.15,hv,hv71459817,2020-04-06T23:42:09.200Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.77,0.251,14,reviewed,hv,hv
2020-04-02T07:16:30.790Z,19.5208333,-155.664,3.81,1.36,md,35,45,0.02764,0.12,hv,hv71455392,2020-04-02T22:17:07.020Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.3,0.49,0.079,15,reviewed,hv,hv
2020-03-19T16:32:30.570Z,19.5048333,-155.661,3.36,2.32,ml,35,47,0.03938,0.13,hv,hv71436567,2020-06-06T20:53:54.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.29,0.55,0.251,18,reviewed,hv,hv
2020-03-14T18:45:50.010Z,19.433,-155.62,0.19,1.96,ml,30,73,0.02482,0.12,hv,hv71428147,2020-03-20T23:57:34.140Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.66,0.099,18,reviewed,hv,hv
2020-03-10T14:33:19.750Z,19.516,-155.6628333,4.05,1.43,md,48,44,0.03069,0.11,hv,hv71420317,2020-04-18T02:49:10.800Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.39,0.125,23,reviewed,hv,hv
2020-03-10T14:29:16.790Z,19.5095005,-155.6593323,0.93,1.84,ml,28,69,0.03466,0.22,hv,hv71420312,2020-03-10T14:34:52.950Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.42,1.05,4.02,5,automatic,hv,hv
2020-03-08T20:38:32.530Z,19.5071667,-155.6596667,0.41,1.29,md,27,66,0.03691,0.15,hv,hv71417682,2020-04-01T00:23:20.170Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.68,0.102,13,reviewed,hv,hv
2020-02-22T20:29:32.080Z,19.4278333,-155.6281667,0.17,2.45,ml,45,118,0.02496,0.11,hv,hv71394692,2020-05-09T21:41:13.040Z,"26km NNW of Pahala, Hawaii",earthquake,0.29,0.63,0.108,29,reviewed,hv,hv
2020-02-03T18:17:34.840Z,19.5105,-155.6565,2.23,1.34,md,31,65,0.0327,0.11,hv,hv71366647,2020-03-31T01:56:40.360Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.64,0.065,11,reviewed,hv,hv
2020-02-01T14:31:10.300Z,19.4726658,-155.5963287,0.19,1.84,ml,15,79,0.01241,0.25,hv,hv71362707,2020-02-01T14:36:44.780Z,"28km E of Honaunau-Napoopoo, Hawaii",earthquake,0.69,0.71,4.62,4,automatic,hv,hv
2020-01-31T12:59:19.630Z,19.4554996,-155.5625,1.12,1.73,md,12,63,0.0207,0.35,hv,hv71360967,2020-01-31T13:02:09.170Z,"29km NNW of Pahala, Hawaii",earthquake,0.99,1.49,0.07,6,automatic,hv,hv
2020-01-25T15:54:18.340Z,19.4088333,-155.6411667,0.19,2.13,ml,41,122,0.01417,0.1,hv,hv71350467,2020-01-28T00:53:10.560Z,"24km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.52,0.158,25,reviewed,hv,hv
2020-01-16T21:26:01.620Z,19.418,-155.6321667,0.04,1.23,md,12,178,0.01578,0.11,hv,hv71333887,2020-01-17T00:31:23.970Z,"24km E of Honaunau-Napoopoo, Hawaii",earthquake,0.68,0.47,0.284,5,reviewed,hv,hv
