time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-12T20:18:30.060Z,19.4496666666667,-155.826,8.56,1.63,md,46,101,,0.19,hv,hv72041427,2020-07-14T02:30:19.350Z,"Island of Hawaii, Hawaii",earthquake,0.4,0.35,0.0933539060253934,22,reviewed,hv,hv
2020-07-06T23:11:16.930Z,19.489,-155.722,8.45,1.55,md,40,139,,0.12,hv,hv72033547,2020-07-14T02:31:11.750Z,"15 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.27,0.160670250118348,18,reviewed,hv,hv
2020-05-21T04:55:29.940Z,19.4566669,-155.7016602,7.11,1.85,md,38,142,0.04742,0.21,hv,hv71520947,2020-05-21T04:58:32.020Z,"17km E of Honaunau-Napoopoo, Hawaii",earthquake,0.52,0.55,0.21,13,automatic,hv,hv
2020-05-02T18:47:13.330Z,19.4363327,-155.8061676,10.06,1.78,md,20,230,0.1187,0.22,hv,hv71496932,2020-05-02T18:50:28.930Z,"6km ESE of Honaunau-Napoopoo, Hawaii",earthquake,1.07,0.39,0.2,7,automatic,hv,hv
2020-04-21T07:07:47.930Z,19.5521667,-155.7085,7.75,2.42,ml,56,97,0.0479,0.18,hv,hv71483447,2020-07-09T14:31:39.040Z,"20km NE of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.31,0.178,27,reviewed,hv,hv
2020-04-10T22:14:08.750Z,19.3955002,-155.8453369,9.51,1.75,md,25,241,0.1727,0.14,hv,hv71468137,2020-04-10T22:17:07.180Z,"7km SSE of Honaunau-Napoopoo, Hawaii",earthquake,1.41,0.55,0.08,8,automatic,hv,hv
2020-03-17T17:16:35.240Z,19.3695,-155.8273333,10.32,1.64,md,39,144,0.1128,0.16,hv,hv71433892,2020-03-17T23:06:18.480Z,"10km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.52,0.28,0.146,19,reviewed,hv,hv
2020-03-16T16:53:08.640Z,19.2915001,-155.7944946,9.23,1.83,md,41,94,0.07585,0.23,hv,hv71432257,2020-03-16T16:56:25.960Z,"19km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.63,0.43,0.21,8,automatic,hv,hv
2020-03-15T07:24:04.770Z,19.3208333,-155.8028333,8.78,2.41,ml,47,99,0.08481,0.1,hv,hv71429197,2020-05-30T22:17:09.040Z,"18km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.36,0.33,0.114,23,reviewed,hv,hv
2020-03-11T12:52:09.450Z,19.3035,-155.8188333,11.01,2.36,ml,43,103,0.06207,0.15,hv,hv71422197,2020-03-11T20:11:14.630Z,"17km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.42,0.3,0.139,17,reviewed,hv,hv
2020-02-28T23:33:50.290Z,19.4991667,-155.768,8.23,2.45,ml,49,63,0.06177,0.17,hv,hv71405067,2020-05-19T22:14:10.040Z,"12km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.29,0.181,17,reviewed,hv,hv
2020-02-17T06:45:33.170Z,19.567,-155.6881667,7.24,2.17,ml,49,48,0.04891,0.17,hv,hv71386697,2020-02-18T21:33:13.930Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.36,0.42,0.234,19,reviewed,hv,hv
2020-01-03T23:16:56.420Z,19.328,-155.8103333,9.59,1.87,md,39,107,0.08499,0.12,hv,hv71317017,2020-03-21T17:13:18.040Z,"16km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.34,0.15,17,reviewed,hv,hv
2019-12-16T07:01:42.650Z,19.423,-155.847,7.56,2.18,ml,43,72,0.03212,0.18,hv,hv71280431,2019-12-17T01:08:02.040Z,"4km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.41,0.126,18,reviewed,hv,hv
2019-11-27T18:07:57.550Z,19.3296667,-155.8113333,9.45,2.54,ml,41,164,0.1089,0.15,hv,hv71253276,2020-02-19T18:58:13.040Z,"15km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.47,0.4,0.154,23,reviewed,hv,hv
2019-10-08T04:38:09.560Z,19.4911667,-155.724,8.28,1.07,md,14,259,0.02395,0.1,hv,hv71171151,2019-10-10T01:26:44.560Z,"15km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.88,0.79,0.063,6,reviewed,hv,hv
2019-09-30T02:32:01.540Z,19.3585,-155.8295,12.29,2.36,ml,41,119,0.07569,0.11,hv,hv71157096,2019-12-20T19:03:55.040Z,"11km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.39,0.32,0.215,26,reviewed,hv,hv
